Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-07718,Belted Kingfisher,12.09.2016,9/12/16 8:30 AM,A,F,Fire Station-Columbus (Inside),Chicago,Unknown,Released
2016-07724,Swainson's Thrush,12.09.2016,9/12/16 6:30 AM,A,UNK,AMACO Building (W sd),Chicago,Collision - building,Released
2016-07725,Black-throated Blue Warbler,12.09.2016,9/12/16 6:40 AM,YoY,F,180 Prudental Plaza,Chicago,Collision - building,Released
2016-07726,Tennessee Warbler,12.09.2016,9/12/16 6:10 AM,YoY,UNK,Arcade Alley (S Sd),Chicago,Collision - building,Released
2016-07727,Ovenbird,12.09.2016,9/11/16 3:30 PM,A,UNK,2309 W. Greenleaf,Chicago,Collision - building,Released
2016-07728,Ovenbird,12.09.2016,9/12/16 5:28 AM,A,UNK,Willis Tower (N sd),Chicago,Collision - building,Released
2016-07729,Yellow-shafted Flicker,12.09.2016,9/12/16 6:15 AM,YoY,F,111 Michigan (S sd),Chicago,Collision - building,Released
2016-07730,Swainson's Thrush,12.09.2016,9/12/16 5:40 AM,YoY,UNK,Sears (W sd),Chicago,Collision - building,Released
2016-07731,Blackpoll Warbler,12.09.2016,9/12/16 8:12 AM,YoY,UNK,123 S. Wacker,Chicago,Collision - building,Released
2016-07732,Blackpoll Warbler,12.09.2016,9/12/16 5:45 AM,YoY,UNK,Sears (West),Chicago,Collision - building,Released
2016-07733,Yellow-shafted Flicker,12.09.2016,9/11/16 7:15 AM,A,M,233 E. Wacker (W sd),Chicago,Collision - building,Released
2016-07745,Red-tailed Hawk,13.09.2016,9/12/16,A,UNK,4420 Midlothian Parkway,Crest hill,Unknown,Released
2016-07747,Bay-breasted Warbler,13.09.2016,9/12/16 3 PM,UNK,UNK,333 S. Wacker (S sd),Chicago,Collision - building,Released
2016-07748,Tennessee Warbler,13.09.2016,9/12/16,A,UNK,30 N. LaSalle (E sd),Chicago,Collision - building,Died before exam
2016-07750,Tennessee Warbler,13.09.2016,9/12/16 11 AM,A,UNK,"303 E Wacker, no side",Chicago,Collision - building,Released
2016-07751,American Kestrel,13.09.2016,9/12/16 11 AM,YoY,F,1205 N Larkin,Joliet,Unknown,Returned to Wild
2016-07755,Common Nighthawk,13.09.2016,9/14/16 11 AM,YoY,UNK,230 Lies Rd,Carol Stream,Unknown,Released
2016-07757,Swainson's Thrush,13.09.2016,9/12/16 6 PM,A,UNK,100 S. Wacker (N sd),Chicago,Collision - building,Euthanized within 24 hour of admit
2016-07758,Magnolia Warbler,13.09.2016,9/13/16 6:30 AM,A,F,353 N. Clark (E sd),Chicago,Collision - building,Released
2016-07759,Bay-breasted Warbler,13.09.2016,9/13/16 7 AM,YoY,M,233 S. Michigan (NE corner),Chicago,Collision - building,Released
2016-07760,Swainson's Thrush,13.09.2016,9/13/16 6:41 AM,A,UNK,Prudential (S sd),Chicago,Collision - building,Released
2016-07765,Canada Goose,13.09.2016,9/13/16 4:15 PM,A,UNK,20 George St,Bensenville,Trap - live,Died after 24 hrs
2016-07769,Osprey,13.09.2016,9/13/16 PM,A,UNK,(Olympia Fields Country Club) Country Club Hills RD,Homewood,Unknown,Dead on arrival
2016-07770,Ruby-throated Hummingbird,13.09.2016,9/13/16 PM,A,UNK,unknown,Homewood,Collision - building,Euthanized after 24 hours
2016-07786,Blackpoll Warbler,14.09.2016,9/13/16 9 AM,YoY,UNK,5640 S Ellis - W,Chicago,Collision - window,Released
2016-07792,Yellow-bellied Flycatcher,14.09.2016,9/14/16 2 PM,UNK,UNK,Bridgeport,Chicago,Collision - window,Euthanized within 24 hour of admit
2016-07793,Swainson's Thrush,14.09.2016,9/14/16 6:20 AM,YoY,UNK,110 W Madison - S,Chicago,Unknown,Released
2016-07794,Common Yellowthroat,14.09.2016,9/14/16 1:30 PM,YoY,M,219 S Dearborn,Chicago,Unknown,Died after 24 hrs
2016-07795,Swainson's Thrush,14.09.2016,9/14/16 1:30 PM,YoY,UNK,2117 N Halsted,Chicago,Unknown,Released
2016-07796,Palm Warbler,14.09.2016,9/14/16 7:50 AM,UNK,UNK,Willis Tower - W,Chicago,Unknown,Died before exam
2016-07797,Palm Warbler,14.09.2016,9/14/16 7:05 AM,YoY,UNK,Willis Atrium - N,Chicago,Unknown,Died before exam
2016-07798,Cedar Waxwing,14.09.2016,9/14/16 6 AM,YoY,UNK,300 N LaSalle - N,Chicago,Unknown,Released
2016-07799,American Crow,14.09.2016,9/14/16 10:30 AM,A,UNK,Rush & Delaware,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07800,Swainson's Thrush,14.09.2016,9/14/16 12 PM,YoY,UNK,200 W Monroe - SE,Chicago,Unknown,Euthanized within 24 hour of admit
2016-07804,Palm Warbler,14.09.2016,9/14/16 6:70 AM,YoY,UNK,BCBS - N,Chicago,Collision - building,Released
2016-07805,Palm Warbler,14.09.2016,9/14/16 7 AM,YoY,UNK,Willis Atrium - N,Chicago,Collision - building,Released
2016-07806,Blackburnian Warbler,14.09.2016,9/14/16,YoY,UNK,33 W Monroe - W,Chicago,Collision - building,Released
2016-07807,Yellow Warbler,14.09.2016,9/14/16 7:31 AM,YoY,UNK,George Dunne Cook Cty - N,Chicago,Collision - building,Released
2016-07808,Nashville Warbler,14.09.2016,9/14/16 6:40 AM,YoY,UNK,(Board of Trade) Van Buren - S,Chicago,Collision - building,Released
2016-07809,Blackpoll Warbler,14.09.2016,9/14/16 5:55 AM,YoY,UNK,BC/BS - W,Chicago,Collision - building,Released
2016-07810,Swainson's Thrush,14.09.2016,9/14/16 5:35 AM,A,UNK,Willis Atrium - S,Chicago,Collision - building,Released
2016-07811,Swainson's Thrush,14.09.2016,9/14/16 12:15 PM,YoY,UNK,800 S Wells,Chicago,Collision - building,Released
2016-07812,Golden-crowned Kinglet,14.09.2016,9/14/16 6:45 AM,A,UNK,233 Mich Plaza -S,Chicago,Collision - building,Released
2016-07813,Swainson's Thrush,14.09.2016,9/14/16 7 AM,YoY,UNK,Van Buren & Dearborn,Chicago,Collision - building,Released
2016-07814,Nashville Warbler,14.09.2016,9/14/16 11 AM,YoY,UNK,Arcade Alley,Chicago,Collision - building,Released
2016-07815,Magnolia Warbler,14.09.2016,9/14/16 8:30 AM,A,UNK,200 S Wacker - s,Chicago,Collision - building,Released
2016-07816,Ovenbird,14.09.2016,9/14/16 10 AM,YoY,UNK,55 W Monroe - E,Chicago,Collision - building,Released
2016-07817,Wilson's Warbler,14.09.2016,9/14/16 6 AM,A,UNK,Boeing - N,Chicago,Collision - building,Released
2016-07818,Magnolia Warbler,14.09.2016,9/14/16 8:40 AM,YoY,UNK,Arcade Alley,Chicago,Collision - building,Released
2016-07819,Golden-crowned Kinglet,14.09.2016,9/14/16 11:30 AM,YoY,UNK,1 S Wacker,Chicago,Collision - building,Released
2016-07820,Yellow-shafted Flicker,14.09.2016,9/14/16 6:55 AM,A,UNK,233 Michigan Plaza,Chicago,Collision - building,Released
2016-07821,Ovenbird,14.09.2016,9/14/16 7:35 AM,A,UNK,100 S Wacker - s,Chicago,Collision - building,Released
2016-07826,Sora,15.09.2016,9/15/16 9 AM,YoY,UNK,3637 N Laramie,Chicago,Collision - building,Died after 24 hrs
2016-07827,Ovenbird,15.09.2016,9/15/16 6:30 AM,A,UNK,120 S LaSalle,Chicago,Collision - building,Died within 24 hours
2016-07828,Northern Waterthrush,15.09.2016,9/14/16 4 PM,UNK,UNK,4544 N Paulina,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-07829,Ovenbird,15.09.2016,9/15/16 5:45 AM,A,UNK,Deloitte - S,Chicago,Collision - building,Died after 24 hrs
2016-07830,Song Sparrow,15.09.2016,9/15/16 6:15 AM,UNK,UNK,111 E Wacker- SW,Chicago,Collision - building,Died before exam
2016-07831,Belted Kingfisher,15.09.2016,9/14/16 2 PM,A,UNK,Winthrop Ave.,Chicago,Unknown,Died after 24 hrs
2016-07858,Red-tailed Hawk,15.09.2016,9/15/16,YoY,UNK,875 Heather Lane,Winneka,Unknown,Died within 24 hours
2016-07860,Red-tailed Hawk,16.09.2016,9/16/16,A,UNK,1835 W Hatherleigh,Mount Prospect,Unknown,Euthanized after 24 hours
2016-07865,Northern Cardinal,16.09.2016,9/16/16 5:30 PM,F,UNK,3930 W Dakin,Chicago,Collision - window,Euthanized after 24 hours
2016-07867,American Robin,16.09.2016,9/16/16 4:15 AM,YoY,UNK,827 N Sedgewick,Chicago,Collision - window,Euthanized within 24 hour of admit
2016-07868,American Robin,16.09.2016,9/16/16 2 PM,YoY,UNK,(Water Reclamation Center) 330 E 130th St.,Chicago,Collision - window,Died within 24 hours
2016-07888,Alder Flycatcher,17.09.2016,9/17/16 6:50 AM,UNK,UNK,,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-07889,Swainson's Thrush,17.09.2016,9/17/16,YoY,UNK,Schlotchauer - West Corner,Chicago,Collision - building,Released
2016-07890,Swainson's Thrush,17.09.2016,9/17/16 6:30 AM,YoY,UNK,Adams & Dearborn - SE,Chicago,Collision - building,Released
2016-07891,Tennessee Warbler,17.09.2016,9/17/16 12:15 PM,YoY,UNK,831 N State - W,Chicago,Collision - building,Died before exam
2016-07904,Wilson's Warbler,15.09.2016,9/15/16 6:45 AM,A,UNK,333 Benton - N,Chicago,Collision - building,Released
2016-07905,Swainson's Thrush,15.09.2016,9/14/16 5 PM,A,UNK,221 N Lasalle- N,Chicago,Collision - building,Released
2016-07906,Common Yellowthroat,15.09.2016,9/15/16 6:30 AM,YoY,UNK,AON- South Plaza,Chicago,Collision - building,Released
2016-07907,Common Yellowthroat,15.09.2016,9/15/16 6:45 AM,YoY,UNK,311 S Wacker - North Side,Chicago,Collision - building,Released
2016-07908,Lincoln's Sparrow,15.09.2016,9/15/16 5:45 AM,YoY,UNK,200 S Wacker - N,Chicago,Collision - building,Released
2016-07909,Black-throated Green Warbler,15.09.2016,9/15/16 6:45 AM,YoY,UNK,Arcade Alley,Chicago,Collision - building,Released
2016-07910,Nashville Warbler,15.09.2016,9/15/16 10 AM,YoY,UNK,Hyatt Center,Chicago,Collision - building,Released
2016-07911,Magnolia Warbler,15.09.2016,9/15/16 8:30 AM,A,UNK,Hyatt Center - SS,Chicago,Collision - building,Released
2016-07912,Magnolia Warbler,15.09.2016,9/15/16 6:55 AM,YoY,UNK,Hyatt Center - S,Chicago,Collision - building,Released
2016-07913,House Wren,15.09.2016,9/15/16 7:40 AM,A,UNK,Deloitte - W,Chicago,Collision - building,Released
2016-07917,Swainson's Thrush,17.09.2016,9/17/16 6 AM,YoY,UNK,Willis Tower (W sd),Chicago,Collision - building,Released
2016-07918,Tennessee Warbler,17.09.2016,9/17/16 7:40 AM,YoY,UNK,30 N. LaSalle (N sd),Chicago,Collision - building,Released
2016-07919,Bay-breasted Warbler,17.09.2016,9/17/16 7:58 AM,YoY,UNK,Deloitte (W sd),Chicago,Collision - building,Released
2016-07920,Tennessee Warbler,17.09.2016,9/17/16 7:30 AM,YoY,UNK,300 S. Riverside (W sd),Chicago,Collision - building,Released
2016-07921,Cedar Waxwing,17.09.2016,9/17/16 9:25 AM,YoY,UNK,Kluczynski Blvd (S sd),Chicago,Collision - building,Released
2016-07922,Bay-breasted Warbler,17.09.2016,9/17/16 7:30 AM,YoY,UNK,55 W. Monroe (SE corner),Chicago,Collision - building,Released
2016-07923,Tennessee Warbler,17.09.2016,9/17/16 8:30 AM,YoY,UNK,321 N. Clark (W sd),Chicago,Collision - building,Released
2016-07924,Tennessee Warbler,17.09.2016,9/17/16 8:30 AM,YoY,UNK,Aeon Building (E sd),Chicago,Collision - building,Released
2016-07925,Black-throated Blue Warbler,17.09.2016,9/17/16 7:22 AM,A,M,Michigan Ave/S. Water St,Chicago,Collision - building,Released
2016-07926,Palm Warbler,17.09.2016,9/16/16 5 PM,YoY,UNK,,Palos Park,Collision - building,Released
2016-07927,Yellow-bellied Cuckoo,17.09.2016,9/17/16 6:20 AM,A,UNK,715 Wacker (S sd),Chicago,Collision - building,Released
2016-07928,Swainson's Thrush,17.09.2016,9/17/16 6:40 AM,A,UNK,233 Michigan Plaza ( W sd),Chicago,Collision - building,Released
2016-07929,Tennessee Warbler,17.09.2016,9/16/16 3:30 PM,YoY,UNK,2210-72284,Chicago,Collision - building,Released
2016-07930, White-throated Sparrow,19.10.2016,9/16/16,YoY,UNK,,Chicago,Unknown,Released
2016-07931,Hermit Thrush,19.10.2016,9/16/16,YoY,UNK,,Chicago,Unknown,Released
2016-07933, White-throated Sparrow,19.10.2016,9/16/16,YoY,UNK,,Chicago,Unknown,Released
2016-07939,Tennessee Warbler,17.09.2016,9/17/16 6:40 AM,A,F,1 S Dearborn (N sd),Chicago,Collision - building,Released
2016-07940,Tennessee Warbler,17.09.2016,9/17/16,YoY,UNK,303 E. Wacker,Chicago,Collision - building,Released
2016-07941,Nashville Warbler,17.09.2016,9/17/16 3 PM,YoY,M,133 N. Dearborn (N sd),Chicago,Collision - building,Released
2016-07947,Double-crested Cormorant,18.09.2016,9/17/16 4 PM,YoY,UNK,Rosemont Beach,Chicago,Unknown,Transferred
2016-07950,Red-headed Woodpecker,18.09.2016,9/18/16 7:30 AM,YoY,UNK,Willis Tower (E sd + inside),Chicago,Collision - building,Released
2016-07951,Swainson's Thrush,18.09.2016,9/18/16 6:14 AM,A,UNK,Kluczinski,Chicago,Collision - building,Released
2016-07952,Rose-breasted Grosbeak,18.09.2016,9/18/16 7:06 AM,UNK,F,545 W. Madison (E sd),Chicago,Collision - building,Released
2016-07953,Ovenbird,18.09.2016,9/18/16 6:50 AM,YoY,UNK,30 N. LaSalle (S Sd),Chicago,Collision - building,Released
2016-07954,Northern Waterthrush,18.09.2016,9/18/16 10 AM,A,UNK,1113 W. Armitage,Chicago,Collision - building,Released
2016-07955,Ovenbird,18.09.2016,9/18/16 6:58 AM,UNK,UNK,500 W. Madison (W sd),Chicago,Collision - building,Released
2016-07956,Ovenbird,18.09.2016,9/18/16 7:20 AM,YoY,UNK,Hyatt Center,Chicago,Collision - building,Released
2016-07957,Grey-cheeked Thrush,18.09.2016,9/18/16 10:15 AM,A,UNK,1644 W. Hubbard St,Chicago,Collision - building,Permanent Resident
2016-07960,Red-breasted Nuthatch,18.09.2016,9/18/16 9 AM,UNK,UNK,unknown,Chicago,Entanglement- other,Released
2016-07961,Magnolia Warbler,18.09.2016,9/18/16 7:05 AM,A,M,"230 W Monroe, south side",Chicago,Collision - building,Died within 24 hours
2016-07963,Yellow-shafted Flicker,19.09.2016,9/18/16 7:21 AM,A,F,Dirksen (W sd),Chicago,Collision - building,Released
2016-07964,Ovenbird,19.09.2016,9/18/16 5:37 AM,A,UNK,Pru II (E sd),Chicago,Collision - building,Released
2016-07965,Blackpoll Warbler,19.09.2016,9/18/16 6:50AM,YoY,UNK,125 S. Wacker (W sd),Chicago,Collision - building,Released
2016-07966,Ovenbird,19.09.2016,9/18/16 6 AM,A,UNK,71 S. Wacker (S sd),Chicago,Collision - building,Released
2016-07967,Cape May Warbler,19.09.2016,9/18/16 6:52 AM,YoY,UNK,30 N. LaSalle (E sd),Chicago,Collision - building,Released
2016-07968,Chipping Sparrow,19.09.2016,9/18/16 8:30 AM,UNK,UNK,Thompson Center (W sd),Chicago,Collision - building,Released
2016-07969,House Wren,19.09.2016,9/18/16 6:25 AM,UNK,UNK,150 N. Wacker (E sd),Chicago,Collision - building,Released
2016-07970,Common Yellowthroat,19.09.2016,9/18/16 6:29 AM,YoY,M,600 W. Fulton (S sd),Chicago,Collision - building,Released
2016-07971,Ovenbird,19.09.2016,9/18/16 7:53 AM,A,UNK,10 S. Riverside (W sd),Chicago,Collision - building,Released
2016-07974,Northern Cardinal,19.09.2016,9/18/16 8 AM,F,UNK,6244 N. Cambell,Chicago,Orphaned,Died before exam
2016-07976,Canada Goose,19.09.2016,9/19/16 8 AM,YoY,UNK,80 N Gordon,Elk Grove,Entanglement - fishing line,Euthanized within 24 hour of admit
2016-07977,Swainson's Thrush,19.09.2016,9/18/16 9 PM,YoY,UNK,south loop,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-07980,Ovenbird,19.09.2016,9/18/16 5:15 PM,A,UNK,"230 W Monroe, West side",Chicago,Collision - building,Released
2016-07981,Black-and-White Warbler,19.09.2016,9/19/16 9 AM,YoY,M,"111 N Canal, east side",Chicago,Collision - building,Released
2016-07993,Tennessee Warbler,20.09.2016,9/20/16 7 AM,UNK,UNK,"311 S Wacker, north side",Chicago,Collision - building,Died after 24 hrs
2016-07994,Blackpoll Warbler,20.09.2016,9/20/16 6:40 AM,UNK,UNK,"Boeing, east side",Chicago,Collision - building,Died after 24 hrs
2016-07995,Golden-crowned Kinglet,20.09.2016,9/20/16 6:20 AM,YoY,UNK,"L S Wacker, nw corner",Chicago,Collision - building,Released
2016-07996,Ovenbird,20.09.2016,9/20/16 6:10 AM,A,UNK,"Aon, north side",Chicago,Collision - building,Released
2016-07997,Ovenbird,20.09.2016,9/19/16 1:30 PM,UNK,UNK,"Fairmont Hotel, inside",Chicago,Collision - building,Died within 24 hours
2016-07998,Ruby-throated Hummingbird,20.09.2016,9/19/16 10:30 AM,UNK,UNK,"101 E Erie, west side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-07999,Blackpoll Warbler,20.09.2016,9/20/16 6:29 AM,UNK,UNK,"Aon, north side",Chicago,Collision - building,Released
2016-08000,Red-eyed Vireo,20.09.2016,9/20/16 8:20 AM,YoY,UNK,"55 W Monroe, south side",Chicago,Collision - building,Died after 24 hrs
2016-08001,Common Yellowthroat,20.09.2016,9/20/16 6:45 AM,YoY,M,"360 E Randolph, south side",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-08002,Palm Warbler,20.09.2016,9/20/16 6:59 AM,UNK,UNK,"303, SE corner",Chicago,Collision - building,Died after 24 hrs
2016-08004,Palm Warbler,20.09.2016,9/20/16 6:25 AM,UNK,UNK,1S Wacker (N sd),Chicago,Collision - building,Released
2016-08005,Red-eyed Vireo,20.09.2016,9/20/16 7:20 AM,YoY,UNK,Hyatt Alley,Chicago,Collision - building,Released
2016-08006,Yellow-bellied Sapsucker,20.09.2016,9/20/16 6:45 AM,YoY,F,Deloitte (N sd),Chicago,Collision - building,Released
2016-08008,Magnolia Warbler,20.09.2016,not given,UNK,UNK,30 N LaSalle,Chicago,Collision - building,Died before exam
2016-08009,Tennessee Warbler,20.09.2016,not given,A,UNK,not given,,Collision - building,Released
2016-08013,Magnolia Warbler,20.09.2016,9/20/16 9:40 AM,A,M,33 W. Monroe (W sd),Chicago,Collision - building,Released
2016-08015,Magnolia Warbler,20.09.2016,9/20/16 10 AM,YoY,UNK,Hyatt Cent (S sd),Chicago,Collision - building,Released
2016-08018,Great Egret,20.09.2016,9/20/16,A,UNK,7522 Bristol LN,Hanover Park,Unknown,Euthanized after 24 hours
2016-08019,Belted Kingfisher,21.09.2016,9/21/16 7 PM,UNK,UNK,2358 S. Marshall Blvd,Chicago,Unknown,Euthanized within 24 hour of admit
2016-08027,Sora,21.09.2016,9/21/16,YoY,UNK,"Willis Tower, east side",Chicago,Collision - building,Released
2016-08028,Wilson's Warbler,21.09.2016,9/21/16 7:15 AM,YoY,F,"300 S Riverside, west side",Chicago,Collision - building,Died after 24 hrs
2016-08029,Rose-breasted Grosbeak,21.09.2016,9/20/16 5 PM,YoY,M,"1901 S Calumet, no side",Chicago,Collision - building,Released
2016-08030,Common Yellowthroat,21.09.2016,9/21/16 5:45 AM,YoY,UNK,Hyatt Tower East (N sd),Chicago,Collision - building,Released
2016-08031,Bay-breasted Warbler,21.09.2016,9/21/16 10:30 AM,YoY,UNK,Loyala Student Center (E sd),Chicago,Collision - building,Released
2016-08032,Virginia Rail,21.09.2016,9/21/16 9 AM,A,UNK,Alley b/t Hubbard/Kin,Chicago,Collision - building,Released
2016-08040,Double-crested Cormorant,21.09.2016,9/21/16 2 PM,A,UNK,Montrose Beach,Chicago,Unknown,Died after 24 hrs
2016-08041,Blackpoll Warbler,21.09.2016,9/21/16 1 PM,YoY,UNK,55 W Cermak  - E,Chicago,Collision - building,Euthanized after 24 hours
2016-08043,Nashville Warbler,21.09.2016,9/21/16 12 PM,UNK,UNK,601 W Jackson,Chicago,Unknown,Released
2016-08044,Swainson's Thrush,21.09.2016,9/21/16 3 PM,UNK,UNK,2244 W Madison - S,Chicago,Unknown,Released
2016-08046,Peregrine Falcon,22.09.2016,9/21/16 7:15 PM,A,UNK,1417 Hinman,Evanston,Unknown,Transferred
2016-08054,Northern Cardinal,22.09.2016,9/22/16 11:44 AM,A,M,47 Maple/ Wildwood Subv,Sandwich,Unknown,Died after 24 hrs
2016-08062,Cedar Waxwing,22.09.2016,9/22/16,YoY,UNK,901 Warrenville Rd - E,Lisle,Collision - building,Died after 24 hrs
2016-08063,Cedar Waxwing,22.09.2016,9/22/16 4:15 PM,A,UNK,901 Warrenville - E,Lisle,Collision - building,Released
2016-08065,Cedar Waxwing,23.09.2016,9/22/16 4:35 PM,YoY,UNK,"901 Warrenville, E Side",Chicago,Collision - building,Released
2016-08066,Cedar Waxwing,23.09.2016,9/22/16 4:35 PM,YoY,UNK,"901 Warrenville, E Side",Chicago,Collision - building,Released
2016-08075,Ovenbird,23.09.2016,9/23/16 7 AM,A,UNK,115 S LaSalle.,Chicago,Collision - window,Released
2016-08076, White-throated Sparrow,23.09.2016,9/23/16 5:45 AM,YoY,UNK,311 S Wacker - w,Chicago,Collision - window,Died after 24 hrs
2016-08077,Mouring Dove,23.09.2016,9/22/16 11:30 PM,YoY,UNK,Daley Center - E,Chicago,Collision - window,Released
2016-08078,Mouring Dove,23.09.2016,9/23/16 9:30 AM,YoY,UNK,3741 S Emerald,Chicago,Collision - window,Euthanized within 24 hour of admit
2016-08083,Hairy woodpecker,23.09.2016,9/23/16,YoY,UNK,303 E Wacker,Chicago,Collision - window,Died within 24 hours
2016-08088, White-throated Sparrow,23.09.2016,9/23/16,YoY,UNK,Fairmount Hotel - S,Chicago,Collision - window,Released
2016-08089,Tennessee Warbler,23.09.2016,9/23/16,YoY,F,735 N Kingsbury - W,Chicago,Collision - window,Released
2016-08090,Mouring Dove,23.09.2016,9/23/16 1:30 PM,A,UNK,1140 w Monroe,Chicago,Collision - window,Released
2016-08091,Magnolia Warbler,23.09.2016,9/23/16,YoY,UNK,,Northbrook,Collision - window,Released
2016-08092,Wilson's Warbler,23.09.2016,9/23/16 5:50 AM,YoY,M,Kluczinski,Chicago,Collision - window,Released
2016-08093, White-throated Sparrow,23.09.2016,9/23/16 6:15 AM,YoY,UNK,PruI - South,Chicago,Collision - window,Released
2016-08094,Yellow-bellied Sapsucker,23.09.2016,9/23/16,YoY,F,333 N Wabash - East,Chicago,Collision - window,Released
2016-08095, White-throated Sparrow,23.09.2016,9/23/16 7:25 AM,YoY,UNK,300 S  Riverside Plaza - W,Chicago,Collision - window,Released
2016-08110,Sora,24.09.2016,9/24/16,UNK,UNK,,Oak Park,Unknown,Died within 24 hours
2016-08111,Ruby-throated Hummingbird,24.09.2016,9/23/16 9 PM,UNK,UNK,Northwestern University,Evanston,Unknown,Died after 24 hrs
2016-08113,Yellow-shafted Flicker,24.09.2016,9/24/16 7:45 AM,A,M,"Street , South Side",Chicago,Collision - window,Released
2016-08114,Yellow-shafted Flicker,24.09.2016,9/24/16 9:30 AM,A,M,1727 S Indiana - NS,Chicago,Collision - window,Released
2016-08115, White-throated Sparrow,24.09.2016,9/24/16,YoY,UNK,"125 S. Walkker, West side",Chicago,Collision - window,Released
2016-08116,Wilson's Warbler,24.09.2016,9/24/16,A,M,"525 W Monroe, North side",Chicago,Collision - window,Died after 24 hrs
2016-08118,Black-throated Blue Warbler,24.09.2016,9/24/16 AM,A,UNK,100 S. Wacker N,Chicago,Collision - window,Released
2016-08119,Yellow-shafted Flicker,24.09.2016,9/24/16 8:10 AM,A,M,111 s Wacker - N,Chicago,Collision - window,Released
2016-08120,Chestnut-sided Warbler,24.09.2016,9/24/16,YoY,F,Wicker Park,Chicago,Collision - window,Released
